season,hour,n_hours,carbon_gco2_kwh,consumption_gal_mwh,withdrawal_gal_mwh
DJF,1,90,374.6192,300.9422,8380.8197
DJF,2,90,371.4015,301.5856,8453.4898
DJF,3,90,369.8961,302.0118,8492.3382
DJF,4,90,369.6061,302.0272,8501.9900
DJF,5,90,370.1658,301.4321,8478.1883
DJF,6,90,370.5252,298.2195,8351.6674
DJF,7,90,370.2312,291.8155,8091.4073
DJF,8,90,373.1025,287.7063,7883.2762
DJF,9,90,372.6961,285.9891,7806.3262
DJF,10,90,366.6713,285.3275,7834.9620
DJF,11,90,363.3502,285.6942,7882.9250
DJF,12,90,360.2297,286.0176,7935.8373
DJF,13,90,357.2789,286.1419,7980.9680
DJF,14,90,355.6339,286.4207,8015.0846
DJF,15,90,355.3413,287.3782,8061.1259
DJF,16,90,358.3297,288.5550,8076.3250
DJF,17,90,367.7493,291.0547,8057.6724
DJF,18,90,374.3876,288.9146,7887.6633
DJF,19,90,378.2627,287.4831,7778.3938
DJF,20,90,379.1325,288.3997,7796.1763
DJF,21,90,379.1706,289.8512,7848.1008
DJF,22,90,379.9361,292.9632,7967.0717
DJF,23,90,380.0528,296.4423,8123.2740
DJF,24,90,377.5827,298.7991,8260.5035
MAM,1,92,330.7981,303.4717,8938.4176
MAM,2,92,327.0930,304.9914,9051.8381
MAM,3,92,323.9905,305.3792,9119.3120
MAM,4,92,322.1852,305.8241,9169.7449
MAM,5,92,322.1570,305.8627,9171.8488
MAM,6,92,322.9110,303.4209,9064.9783
MAM,7,92,324.3806,297.3581,8804.6714
MAM,8,92,324.0882,290.4702,8525.1666
MAM,9,92,314.3280,282.5161,8319.9553
MAM,10,92,305.2908,277.6993,8235.2511
MAM,11,92,301.3375,275.3226,8180.4181
MAM,12,92,298.4241,273.5606,8148.7143
MAM,13,92,295.8084,272.6834,8148.3834
MAM,14,92,295.1291,272.1357,8134.0057
MAM,15,92,294.9477,271.8023,8125.1961
MAM,16,92,296.7678,271.9503,8115.0993
MAM,17,92,300.4579,272.0173,8078.4586
MAM,18,92,307.0880,272.6396,8035.2762
MAM,19,92,317.3180,275.6382,8039.8230
MAM,20,92,329.9565,280.5187,8081.1826
MAM,21,92,338.9840,283.2764,8074.5798
MAM,22,92,340.4992,286.3067,8163.4311
MAM,23,92,339.2890,292.5182,8433.4848
MAM,24,91,336.1547,299.3079,8721.2758
JJA,1,92,381.0819,305.6877,8357.9505
JJA,2,92,374.5699,307.2570,8534.2553
JJA,3,92,368.5856,308.0611,8676.7856
JJA,4,92,362.9853,308.9465,8809.3514
JJA,5,92,360.6242,309.1330,8861.3550
JJA,6,92,362.2049,308.3922,8810.3140
JJA,7,92,365.3281,306.5972,8685.3181
JJA,8,92,361.4800,300.2439,8457.9379
JJA,9,92,351.7329,290.3634,8166.7259
JJA,10,92,347.0114,283.4093,7937.2505
JJA,11,92,347.1422,278.8585,7735.4047
JJA,12,92,348.8656,275.3585,7555.9616
JJA,13,92,352.0858,272.0589,7367.5403
JJA,14,92,355.6080,268.9725,7197.3984
JJA,15,92,357.1957,266.0481,7066.1630
JJA,16,92,358.8595,264.0200,6973.2875
JJA,17,92,361.3255,263.2539,6909.6990
JJA,18,92,365.2690,264.0005,6883.1349
JJA,19,92,372.2221,267.5895,6948.1989
JJA,20,92,382.1918,273.8404,7087.7775
JJA,21,92,389.0073,279.8905,7245.5964
JJA,22,92,391.6186,285.0558,7410.6239
JJA,23,92,392.3746,293.6862,7723.7421
JJA,24,92,389.2083,300.9138,8058.8203
SON,1,91,352.0044,305.2477,8814.6298
SON,2,91,346.4553,306.8205,8962.8862
SON,3,91,342.4528,307.3458,9052.4939
SON,4,91,339.7602,307.7214,9115.1037
SON,5,91,339.8437,307.5785,9117.9918
SON,6,91,342.6082,305.7270,9021.9600
SON,7,91,346.2301,300.4551,8754.5464
SON,8,91,351.3397,296.4699,8515.1596
SON,9,91,346.0238,290.7706,8331.0422
SON,10,91,335.3388,284.3057,8194.5528
SON,11,91,332.1381,281.6476,8105.1413
SON,12,91,331.8956,280.3779,8061.1358
SON,13,91,331.9252,279.2069,8017.0079
SON,14,91,333.2457,277.9849,7951.7829
SON,15,91,334.7203,277.2031,7900.1385
SON,16,91,337.6983,277.2105,7864.1614
SON,17,91,344.0487,277.6298,7811.2655
SON,18,91,352.1659,277.9692,7745.1797
SON,19,91,362.3780,281.5111,7772.0185
SON,20,91,366.5293,284.1510,7821.6624
SON,21,91,366.3878,286.5187,7908.3928
SON,22,91,365.6353,291.3412,8093.8757
SON,23,91,363.6308,297.7106,8358.6204
SON,24,91,359.0522,302.4759,8608.5451
