season,hour,n_hours,carbon_gco2_kwh,consumption_gal_mwh,withdrawal_gal_mwh
DJF,1,90,574.2952,217.7411,2739.2704
DJF,2,90,601.1551,244.0361,3001.2492
DJF,3,90,606.3591,242.7663,3063.4911
DJF,4,90,583.4469,226.5513,2781.8256
DJF,5,90,560.0450,192.6970,2812.2587
DJF,6,90,528.2029,184.6834,2515.8375
DJF,7,90,537.8138,194.9864,2408.3272
DJF,8,90,570.5864,218.7800,2674.0348
DJF,9,90,578.1147,223.9736,2695.1064
DJF,10,90,551.7637,188.9889,2533.8312
DJF,11,90,558.0317,201.2453,2677.4028
DJF,12,90,552.5942,209.0590,2600.4858
DJF,13,90,562.8904,219.8738,2704.5752
DJF,14,90,586.4880,232.0561,2855.4069
DJF,15,90,584.2274,236.1017,2746.8138
DJF,16,90,544.7247,204.9214,2380.2113
DJF,17,90,538.5690,204.9246,2364.8805
DJF,18,90,553.2034,205.9835,2529.5283
DJF,19,90,587.8321,228.7185,2917.6068
DJF,20,90,610.2039,245.6086,3194.3637
DJF,21,90,540.9056,189.1662,2399.8486
DJF,22,90,548.2619,204.4226,2509.7585
DJF,23,90,514.5152,206.7922,2170.4576
DJF,24,90,548.1743,216.4692,2469.2593
MAM,1,92,569.0545,200.3965,2755.5990
MAM,2,92,583.4228,235.9988,2776.2044
MAM,3,92,592.8188,266.9610,2963.2103
MAM,4,92,601.9046,271.9319,3046.1943
MAM,5,92,540.2080,227.4719,2333.9425
MAM,6,92,556.8730,207.4045,2609.8013
MAM,7,92,544.5240,199.0115,2388.7918
MAM,8,92,566.2305,217.8420,2603.0276
MAM,9,92,558.4066,216.9645,2480.9578
MAM,10,92,552.1562,214.7474,2464.9077
MAM,11,92,567.4934,229.9741,2803.6200
MAM,12,92,563.4974,217.7950,2624.7615
MAM,13,92,569.1929,221.4761,2638.4435
MAM,14,92,556.6783,210.4353,2466.3979
MAM,15,92,564.7135,214.3135,2602.0957
MAM,16,92,561.4895,211.4646,2544.8640
MAM,17,92,534.4623,192.6001,2301.6480
MAM,18,92,537.3386,191.4617,2335.6815
MAM,19,92,533.5243,193.6517,2237.1222
MAM,20,92,561.7099,215.9488,2572.0206
MAM,21,92,600.8530,245.4676,3004.4247
MAM,22,92,536.7975,184.0155,2282.9039
MAM,23,92,528.0758,192.4561,2268.0259
MAM,24,91,557.4885,195.4644,2694.5471
JJA,1,92,556.2896,217.7952,2537.3403
JJA,2,92,586.3090,251.5128,2919.4183
JJA,3,92,610.2790,278.3144,3189.5486
JJA,4,92,612.2096,275.2318,3184.6129
JJA,5,92,587.8693,264.2117,2938.5133
JJA,6,92,572.6036,239.2001,2674.2426
JJA,7,92,595.0470,254.4918,2932.5937
JJA,8,92,587.6240,256.2951,2881.2847
JJA,9,92,562.2736,232.6287,2561.2152
JJA,10,92,558.0283,228.3397,2506.5919
JJA,11,92,546.8994,228.4480,2527.2357
JJA,12,92,539.4479,220.6123,2442.1372
JJA,13,92,547.3407,220.1834,2455.1740
JJA,14,92,560.1178,215.8512,2591.9081
JJA,15,92,559.3331,207.5578,2709.3679
JJA,16,92,574.7198,208.2265,2827.9452
JJA,17,92,556.6978,218.4175,2613.6755
JJA,18,92,545.1180,223.7396,2555.1881
JJA,19,92,566.2240,212.7373,2711.4148
JJA,20,92,584.5410,221.4801,2913.8425
JJA,21,92,551.7905,187.2658,2711.2127
JJA,22,92,537.1627,183.1482,2556.5423
JJA,23,92,536.4268,183.2795,2448.7742
JJA,24,92,531.9632,200.9969,2324.6184
SON,1,91,570.6458,229.7956,2688.6113
SON,2,91,600.8127,251.8923,3007.3128
SON,3,91,642.5444,287.2233,3492.5412
SON,4,91,634.1598,287.0962,3416.1924
SON,5,91,617.0713,268.3751,3218.1885
SON,6,91,568.8290,208.2865,2800.8123
SON,7,91,552.1756,215.6269,2530.7040
SON,8,91,586.9323,235.4728,2836.9337
SON,9,91,574.9268,229.9353,2696.1468
SON,10,91,580.1067,223.9162,2796.2610
SON,11,91,545.5932,235.6548,2703.6784
SON,12,91,563.9973,206.4943,2648.7119
SON,13,91,572.6431,217.4499,2714.0873
SON,14,91,572.7706,219.6137,2703.1364
SON,15,91,590.3891,238.9565,2949.8065
SON,16,91,566.4051,222.3636,2647.8042
SON,17,91,539.8185,197.0809,2453.2319
SON,18,91,552.9063,195.0438,2595.9802
SON,19,91,571.2187,212.5591,2754.2195
SON,20,91,577.1859,222.7210,2818.1963
SON,21,91,520.2275,167.0351,2121.4173
SON,22,91,534.1156,181.1495,2348.0111
SON,23,91,532.4440,185.8374,2445.3203
SON,24,91,542.8094,203.0535,2457.3358
