season,dow,hour,n_hours,carbon_gco2_kwh,consumption_gal_mwh,withdrawal_gal_mwh
DJF,Mon,1,13,378.1205,300.2505,8298.3469
DJF,Mon,2,13,374.4571,300.6898,8356.2087
DJF,Mon,3,13,373.5498,300.4708,8363.5532
DJF,Mon,4,13,373.8824,300.1528,8349.4747
DJF,Mon,5,13,375.4393,298.8866,8287.4484
DJF,Mon,6,13,374.5314,294.5335,8119.0778
DJF,Mon,7,13,372.2759,285.9580,7796.4478
DJF,Mon,8,13,375.9317,280.9739,7555.8801
DJF,Mon,9,13,376.7764,279.6645,7487.1122
DJF,Mon,10,13,372.3923,280.1407,7534.0720
DJF,Mon,11,13,371.4447,281.8052,7591.2812
DJF,Mon,12,13,369.5132,283.0905,7668.6565
DJF,Mon,13,13,367.1372,283.3521,7712.5974
DJF,Mon,14,13,365.9074,283.6669,7738.5934
DJF,Mon,15,13,365.3619,284.5934,7794.6329
DJF,Mon,16,13,367.9612,285.8181,7829.5941
DJF,Mon,17,13,378.3135,288.6171,7820.6641
DJF,Mon,18,13,383.7405,285.6144,7629.4597
DJF,Mon,19,13,387.4395,283.8423,7514.6090
DJF,Mon,20,13,387.4518,284.5616,7530.6972
DJF,Mon,21,13,386.3751,285.5132,7573.9819
DJF,Mon,22,13,388.4865,289.5922,7710.7991
DJF,Mon,23,13,389.7472,294.5447,7906.7827
DJF,Mon,24,13,387.1436,297.7828,8069.8189
DJF,Tue,1,13,383.7119,299.4268,8182.8301
DJF,Tue,2,13,380.7365,300.0523,8255.9162
DJF,Tue,3,13,379.3870,300.3061,8288.6928
DJF,Tue,4,13,379.6006,299.9742,8282.1465
DJF,Tue,5,13,379.6829,298.7589,8242.7460
DJF,Tue,6,13,378.6963,293.9525,8079.9014
DJF,Tue,7,13,376.1295,285.2549,7749.8978
DJF,Tue,8,13,377.9128,280.2379,7520.8225
DJF,Tue,9,13,376.3696,278.6272,7456.5359
DJF,Tue,10,13,370.2365,279.6709,7546.7806
DJF,Tue,11,13,367.8785,281.6960,7647.3764
DJF,Tue,12,13,364.5579,282.2724,7713.0879
DJF,Tue,13,13,360.4049,282.3290,7771.8663
DJF,Tue,14,13,357.7331,282.8224,7822.8380
DJF,Tue,15,13,355.8621,283.6140,7886.2600
DJF,Tue,16,13,359.4034,284.8181,7901.3582
DJF,Tue,17,13,370.1078,288.7990,7925.9059
DJF,Tue,18,13,376.0565,286.9024,7771.9197
DJF,Tue,19,13,378.7249,285.0321,7652.8355
DJF,Tue,20,13,378.8883,285.9215,7667.1534
DJF,Tue,21,13,378.9182,287.7407,7730.6002
DJF,Tue,22,13,378.0677,290.4246,7860.2478
DJF,Tue,23,13,377.4858,294.3486,8049.3571
DJF,Tue,24,13,374.6714,296.9936,8207.9155
DJF,Wed,1,13,370.4965,298.6167,8345.7199
DJF,Wed,2,13,366.2372,299.7417,8450.2156
DJF,Wed,3,13,364.3950,300.4241,8506.4772
DJF,Wed,4,13,362.1487,299.8224,8523.2168
DJF,Wed,5,13,361.4865,299.5182,8525.9557
DJF,Wed,6,13,361.9926,296.5299,8392.5808
DJF,Wed,7,13,361.8257,288.6394,8061.3077
DJF,Wed,8,13,365.6050,283.9438,7818.6985
DJF,Wed,9,13,366.0762,283.6654,7784.7904
DJF,Wed,10,13,361.2228,284.9469,7874.5920
DJF,Wed,11,13,358.3398,285.6425,7938.9422
DJF,Wed,12,13,354.4850,285.3512,7980.2196
DJF,Wed,13,13,350.8579,284.6800,8009.9161
DJF,Wed,14,13,349.0520,284.0899,8021.2679
DJF,Wed,15,13,348.9528,285.1089,8060.2007
DJF,Wed,16,13,351.7283,286.1224,8068.7600
DJF,Wed,17,13,361.2406,289.5893,8076.3885
DJF,Wed,18,13,368.2848,288.0958,7916.9542
DJF,Wed,19,13,372.7943,287.3412,7823.0030
DJF,Wed,20,13,373.4936,288.3092,7845.3933
