season,dow,hour,n_hours,carbon_gco2_kwh,consumption_gal_mwh,withdrawal_gal_mwh
DJF,Mon,1,13,574.2952,217.7411,2739.2704
DJF,Mon,2,13,601.1551,244.0361,3001.2492
DJF,Mon,3,13,606.3591,242.7663,3063.4911
DJF,Mon,4,13,583.4469,226.5513,2781.8256
DJF,Mon,5,13,560.0450,192.6970,2812.2587
DJF,Mon,6,13,528.2029,184.6834,2515.8375
DJF,Mon,7,13,537.8138,194.9864,2408.3272
DJF,Mon,8,13,570.5864,218.7800,2674.0348
DJF,Mon,9,13,578.1147,223.9736,2695.1064
DJF,Mon,10,13,551.7637,188.9889,2533.8312
DJF,Mon,11,13,558.0317,201.2453,2677.4028
DJF,Mon,12,13,552.5942,209.0590,2600.4858
DJF,Mon,13,13,562.8904,219.8738,2704.5752
DJF,Mon,14,13,586.4880,232.0561,2855.4069
DJF,Mon,15,13,584.2274,236.1017,2746.8138
DJF,Mon,16,13,544.7247,204.9214,2380.2113
DJF,Mon,17,13,538.5690,204.9246,2364.8805
DJF,Mon,18,13,553.2034,205.9835,2529.5283
DJF,Mon,19,13,587.8321,228.7185,2917.6068
DJF,Mon,20,13,610.2039,245.6086,3194.3637
DJF,Mon,21,13,540.9056,189.1662,2399.8486
DJF,Mon,22,13,548.2619,204.4226,2509.7585
DJF,Mon,23,13,514.5152,206.7922,2170.4576
DJF,Mon,24,13,548.1743,216.4692,2469.2593
DJF,Tue,1,13,574.2952,217.7411,2739.2704
DJF,Tue,2,13,601.1551,244.0361,3001.2492
DJF,Tue,3,13,606.3591,242.7663,3063.4911
DJF,Tue,4,13,583.4469,226.5513,2781.8256
DJF,Tue,5,13,560.0450,192.6970,2812.2587
DJF,Tue,6,13,528.2029,184.6834,2515.8375
DJF,Tue,7,13,537.8138,194.9864,2408.3272
DJF,Tue,8,13,570.5864,218.7800,2674.0348
DJF,Tue,9,13,578.1147,223.9736,2695.1064
DJF,Tue,10,13,551.7637,188.9889,2533.8312
DJF,Tue,11,13,558.0317,201.2453,2677.4028
DJF,Tue,12,13,552.5942,209.0590,2600.4858
DJF,Tue,13,13,562.8904,219.8738,2704.5752
DJF,Tue,14,13,586.4880,232.0561,2855.4069
DJF,Tue,15,13,584.2274,236.1017,2746.8138
DJF,Tue,16,13,544.7247,204.9214,2380.2113
DJF,Tue,17,13,538.5690,204.9246,2364.8805
DJF,Tue,18,13,553.2034,205.9835,2529.5283
DJF,Tue,19,13,587.8321,228.7185,2917.6068
DJF,Tue,20,13,610.2039,245.6086,3194.3637
DJF,Tue,21,13,540.9056,189.1662,2399.8486
DJF,Tue,22,13,548.2619,204.4226,2509.7585
DJF,Tue,23,13,514.5152,206.7922,2170.4576
DJF,Tue,24,13,548.1743,216.4692,2469.2593
DJF,Wed,1,13,574.2952,217.7411,2739.2704
DJF,Wed,2,13,601.1551,244.0361,3001.2492
DJF,Wed,3,13,606.3591,242.7663,3063.4911
DJF,Wed,4,13,583.4469,226.5513,2781.8256
DJF,Wed,5,13,560.0450,192.6970,2812.2587
DJF,Wed,6,13,528.2029,184.6834,2515.8375
DJF,Wed,7,13,537.8138,194.9864,2408.3272
DJF,Wed,8,13,570.5864,218.7800,2674.0348
DJF,Wed,9,13,578.1147,223.9736,2695.1064
DJF,Wed,10,13,551.7637,188.9889,2533.8312
DJF,Wed,11,13,558.0317,201.2453,2677.4028
DJF,Wed,12,13,552.5942,209.0590,2600.4858
DJF,Wed,13,13,562.8904,219.8738,2704.5752
DJF,Wed,14,13,586.4880,232.0561,2855.4069
DJF,Wed,15,13,584.2274,236.1017,2746.8138
DJF,Wed,16,13,544.7247,204.9214,2380.2113
DJF,Wed,17,13,538.5690,204.9246,2364.8805
DJF,Wed,18,13,553.2034,205.9835,2529.5283
DJF,Wed,19,13,587.8321,228.7185,2917.6068
DJF,Wed,20,13,610.2039,245.6086,3194.3637
DJF,Wed,21,13,540.9056,189.1662,2399.8486
DJF,Wed,22,13,548.2619,204.4226,2509.7585
DJF,Wed,23,13,514.5152,206.7922,2170.4576
DJF,Wed,24,13,548.1743,216.4692,2469.2593
DJF,Thu,1,13,574.2952,217.7411,2739.2704
DJF,Thu,2,13,601.1551,244.0361,3001.2492
DJF,Thu,3,13,606.3591,242.7663,3063.4911
DJF,Thu,4,13,583.4469,226.5513,2781.8256
DJF,Thu,5,13,560.0450,192.6970,2812.2587
DJF,Thu,6,13,528.2029,184.6834,2515.8375
DJF,Thu,7,13,537.8138,194.9864,2408.3272
DJF,Thu,8,13,570.5864,218.7800,2674.0348
DJF,Thu,9,13,578.1147,223.9736,2695.1064
DJF,Thu,10,13,551.7637,188.9889,2533.8312
DJF,Thu,11,13,558.0317,201.2453,2677.4028
DJF,Thu,12,13,552.5942,209.0590,2600.4858
DJF,Thu,13,13,562.8904,219.8738,2704.5752
DJF,Thu,14,13,586.4880,232.0561,2855.4069
DJF,Thu,15,13,584.2274,236.1017,2746.8138
DJF,Thu,16,13,544.7247,204.9214,2380.2113
DJF,Thu,17,13,538.5690,204.9246,2364.8805
DJF,Thu,18,13,553.2034,205.9835,2529.5283
