# Vendored from pjm-water-carbon @ 28aecf4462732f522229508d68c8dee3c30e5bca
# source: results/savings.csv, rows with objective == carbon,
#   basis in (average, marginal_empirical), metric in (consumption, withdrawal).
# What it is: water savings when jobs are rescheduled to minimise carbon by the
#   upstream deadline-constrained job-scheduling simulation (run_savings.py),
#   vs the run-on-arrival baseline. slack_h = how many hours a job may wait.
# savings_pct: positive = less water than run-on-arrival; negative = more.
# Copied verbatim (column subset); not recomputed.
basis,slack_h,metric,units,baseline_total,scheduled_total,savings_pct,n_jobs_evaluated,n_jobs_excluded,delivered_mwh
average,2,consumption,gallons,1903675.1693505435,1902758.6898552817,0.04814264061522961,4966,34,6703.499285017183
average,2,withdrawal,gallons,53471601.13123353,53624551.74877,-0.2860408409336552,4966,34,6703.499285017183
marginal_empirical,2,consumption,gallons,1446846.5555139151,1421250.2118341005,1.769112528365032,4966,34,6703.499285017183
marginal_empirical,2,withdrawal,gallons,17646040.832791448,17325663.70331781,1.8155751338752681,4966,34,6703.499285017183
average,6,consumption,gallons,1903675.1693505435,1907549.0345295032,-0.20349402257956026,4966,34,6703.499285017183
average,6,withdrawal,gallons,53471601.13123353,54150513.014708556,-1.2696681399324432,4966,34,6703.499285017183
marginal_empirical,6,consumption,gallons,1446846.5555139151,1383741.4761794987,4.361559910684634,4966,34,6703.499285017183
marginal_empirical,6,withdrawal,gallons,17646040.832791448,16943634.898371164,3.980529916461547,4966,34,6703.499285017183
average,12,consumption,gallons,1903675.1693505435,1903650.1795016918,0.0013127160165784717,4966,34,6703.499285017183
average,12,withdrawal,gallons,53471601.13123353,54473000.437574,-1.8727685073105829,4966,34,6703.499285017183
marginal_empirical,12,consumption,gallons,1446846.5555139151,1353959.707534994,6.419951557746774,4966,34,6703.499285017183
marginal_empirical,12,withdrawal,gallons,17646040.832791448,16673891.637419928,5.509163242810735,4966,34,6703.499285017183
average,24,consumption,gallons,1903675.1693505435,1882815.104541361,1.095778583711791,4966,34,6703.499285017183
average,24,withdrawal,gallons,53471601.13123353,54301619.99658461,-1.5522611027000928,4966,34,6703.499285017183
marginal_empirical,24,consumption,gallons,1446846.5555139151,1331634.3958336904,7.962983997242317,4966,34,6703.499285017183
marginal_empirical,24,withdrawal,gallons,17646040.832791448,16521834.800163101,6.370868362376484,4966,34,6703.499285017183
